target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
6.269406,21.72,0.0,50.41,46.74,0.0,0.0,0.18,0.0,0.0,1.29,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.640212,21.467,0.0,45.0,16.35,0.0,0.0,23.05,7.07,0.0,0.0,0.0,4.22,1.1,2.66,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.640212,21.581,0.0,9.27,0.0,0.37,0.0,76.77,0.0,0.0,0.18,0.0,3.12,0.73,0.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.640212,21.72,0.0,24.61,0.0,0.83,2.85,67.49,0.0,0.0,0.83,0.0,0.0,0.46,1.74,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.480508,21.72,0.0,30.39,46.92,0.0,19.19,0.73,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,0.0,7.99,2.66,67.22,19.83,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,0.0,22.77,0.0,41.32,7.35,12.21,0.0,0.0,0.28,0.0,0.0,5.97,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81,0.0,0.0
10.744633,21.72,0.0,20.11,0.0,0.83,9.18,37.56,0.0,0.0,2.48,0.0,0.0,11.02,17.63,0.73,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,0.0,4.04,12.12,0.0,22.96,25.07,1.74,0.46,1.01,6.61,1.84,16.16,7.16,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,2.3,0.37,40.31,0.0,21.03,18.27,2.48,1.56,0.0,0.92,2.39,7.44,0.18,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,3.86,0.64,38.84,0.0,1.56,46.74,0.92,0.37,0.0,0.0,0.83,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.744633,21.72,0.0,13.13,21.49,17.45,6.24,34.71,0.0,0.0,1.56,0.0,0.0,3.95,0.0,0.83,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
